implementation,exponent,rss,time
c/p001_gmp,10000,3440,0.00
ocaml/p001_num,10000,5088,0.01
ocaml/p001_bigint,10000,4864,0.01
perl/p001_math_bigint_calc.pl,10000,24896,1.37
perl/p001_math_bigint_gmp.pl,10000,19456,0.04
python/p001.py,10000,30096,2.35
java/P001_BigInteger.class,10000,130512,0.21
c/p001_gmp,20000,4016,0.00
ocaml/p001_num,20000,6704,0.05
ocaml/p001_bigint,20000,6272,0.05
perl/p001_math_bigint_calc.pl,20000,28400,4.83
perl/p001_math_bigint_gmp.pl,20000,20224,0.02
python/p001.py,20000,30064,2.35
java/P001_BigInteger.class,20000,206560,0.40
c/p001_gmp,30000,4448,0.00
ocaml/p001_num,30000,8288,0.12
ocaml/p001_bigint,30000,7680,0.12
perl/p001_math_bigint_calc.pl,30000,31344,10.70
perl/p001_math_bigint_gmp.pl,30000,20992,0.02
python/p001.py,30000,30096,2.36
java/P001_BigInteger.class,30000,206560,0.74
c/p001_gmp,40000,4976,0.01
ocaml/p001_num,40000,9936,0.22
ocaml/p001_bigint,40000,9136,0.22
perl/p001_math_bigint_calc.pl,40000,35472,19.06
perl/p001_math_bigint_gmp.pl,40000,21792,0.03
python/p001.py,40000,29760,2.36
java/P001_BigInteger.class,40000,207792,1.24
c/p001_gmp,50000,5632,0.01
ocaml/p001_num,50000,11536,0.35
ocaml/p001_bigint,50000,10544,0.35
perl/p001_math_bigint_calc.pl,50000,38752,29.57
perl/p001_math_bigint_gmp.pl,50000,22672,0.03
python/p001.py,50000,30160,2.35
java/P001_BigInteger.class,50000,214688,1.84
c/p001_gmp,60000,6048,0.01
ocaml/p001_num,60000,13168,0.51
ocaml/p001_bigint,60000,11952,0.51
perl/p001_math_bigint_calc.pl,60000,41264,42.36
perl/p001_math_bigint_gmp.pl,60000,23248,0.04
python/p001.py,60000,30208,2.36
java/P001_BigInteger.class,60000,212000,2.57
c/p001_gmp,70000,6544,0.02
ocaml/p001_num,70000,15120,0.71
ocaml/p001_bigint,70000,13360,0.69
perl/p001_math_bigint_calc.pl,70000,44080,59.25
perl/p001_math_bigint_gmp.pl,70000,24176,0.04
python/p001.py,70000,30496,2.35
java/P001_BigInteger.class,70000,212256,3.45
c/p001_gmp,80000,7008,0.02
ocaml/p001_num,80000,16720,0.91
ocaml/p001_bigint,80000,15136,0.90
perl/p001_math_bigint_calc.pl,80000,49664,79.09
perl/p001_math_bigint_gmp.pl,80000,24704,0.04
python/p001.py,80000,30304,2.35
java/P001_BigInteger.class,80000,217056,4.46
c/p001_gmp,90000,7488,0.03
ocaml/p001_num,90000,18320,1.15
ocaml/p001_bigint,90000,16544,1.15
perl/p001_math_bigint_calc.pl,90000,52592,101.48
perl/p001_math_bigint_gmp.pl,90000,25664,0.05
python/p001.py,90000,30224,2.35
java/P001_BigInteger.class,90000,217024,5.66
c/p001_gmp,100000,7824,0.03
ocaml/p001_num,100000,19968,1.41
ocaml/p001_bigint,100000,17968,1.41
perl/p001_math_bigint_calc.pl,100000,55616,119.60
perl/p001_math_bigint_gmp.pl,100000,26048,0.05
python/p001.py,100000,30368,2.35
java/P001_BigInteger.class,100000,217168,6.84
c/p001_gmp,110000,8384,0.04
ocaml/p001_num,110000,21600,1.71
ocaml/p001_bigint,110000,19408,1.71
perl/p001_math_bigint_calc.pl,110000,58416,157.38
perl/p001_math_bigint_gmp.pl,110000,26624,0.06
python/p001.py,110000,30288,2.35
java/P001_BigInteger.class,110000,213584,8.28
c/p001_gmp,120000,8816,0.04
ocaml/p001_num,120000,23168,2.04
ocaml/p001_bigint,120000,20816,2.04
perl/p001_math_bigint_calc.pl,120000,61280,170.95
perl/p001_math_bigint_gmp.pl,120000,27088,0.06
python/p001.py,120000,30320,2.36
java/P001_BigInteger.class,120000,221248,9.77
c/p001_gmp,130000,9200,0.05
ocaml/p001_num,130000,24784,2.39
ocaml/p001_bigint,130000,22224,2.39
perl/p001_math_bigint_calc.pl,130000,64192,199.87
perl/p001_math_bigint_gmp.pl,130000,27776,0.07
python/p001.py,130000,30544,2.35
java/P001_BigInteger.class,130000,218528,11.47
